DateTime,AddedIPs,RemovedIPs
1577787253,0,1
1577789772,0,2
1577791693,1,0
1577792531,0,1
1577800307,0,2
1577801421,0,1
1577803333,0,2
1577804171,1,0
1577807711,1,0
1577808849,0,1
1577812222,0,1
1577814133,1,1
1577819260,1,0
1577820614,1,0
1577832975,4,0
1577847371,0,1
1577850133,0,3
1577853734,0,1
1577855653,1,0
1577856876,1,0
1577860213,0,1
1577861789,1,0
1577864535,1,0
1577868138,0,1
1577870055,3,0
1577871614,1,3
1577875334,0,1
1577877316,1,0
1577878820,2,1
1577886133,0,24
1577891714,1,1
1577895314,0,1
1577898156,1,0
1577902214,0,1
1577903413,0,1
1577907313,0,1
1577916915,1,0
1577918534,8,0
1577920221,5,1
1577921294,2,0
1577923814,2,1
1577924892,2,0
1577925997,1,0
1577927652,2,0
1577928493,1,0
1577930173,3,0
1577932932,1,6
1577934855,4,0
1577936114,6,1
1577937374,2,2
1577938455,1,0
1577942051,1,0
1577944571,1,0
1577947333,0,1
1577949253,3,0
1577952622,2,1
1577953730,1,1
1577956451,1,0
1577958134,0,1
1577961614,2,0
1577962571,1,0
1577963716,0,1
1577965332,1,0
1577966174,1,0
1577968931,1,0
1577970615,1,0
1577974222,0,2
1577975416,0,1
1577980202,2,0
1577982492,1,0
1577983811,0,1
1577985021,1,1
1577987113,1,1
1577988292,3,0
1577992515,1,0
1577993712,2,1
1577996916,1,0
1577997735,0,1
1577999652,0,1
1578000912,0,1
1578006855,1,0
1578010011,1,1
1578013816,1,1
1578016571,0,1
1578019728,0,1
1578022093,1,0
1578026532,1,1
1578027375,1,0
1578030133,1,1
1578035715,1,0
1578038172,1,0
1578042852,1,0
1578043692,1,0
1578044532,9,0
1578045635,22,0
1578046814,12,0
1578049671,1,1
1578051015,0,1
1578056172,0,2
1578057313,2,0
1578058933,85,1
1578060853,82,0
1578064165,1,1
1578065413,0,1
1578066617,0,1
1578068117,1,0
1578073334,0,1
1578074431,1,0
1578078368,0,1
1578086053,0,1
1578087575,0,1
1578088830,0,1
1578094941,0,1
1578098534,2,0
1578104054,1,0
1578115818,1,1
1578118453,1,0
1578119291,2,0
1578122056,0,1
1578125421,2,0
1578130816,0,1
1578137415,0,1
1578141615,0,1
1578144614,1,0
1578154456,1,0
1578166513,1,0
1578169692,1,0
1578174013,0,1
1578181215,0,1
1578189372,0,1
1578195313,0,1
1578197414,1,0
1578198492,1,0
1578215655,0,2
1578217342,1,1
1578219254,1,0
1578221771,1,0
1578226447,0,1
1578227711,0,1
1578228906,1,0
1578230114,0,172
1578234491,1,0
1578239772,0,1
1578243702,0,1
1578246015,1,0
1578247814,1,0
1578248894,2,0
1578249742,1,0
1578255021,1,0
1578256217,1,0
1578258853,21,1
1578262451,0,2
1578265618,0,1
1578266893,1,0
1578268511,0,1
1578271517,1,0
1578272172,1,0
1578273315,1,0
1578282185,0,2
1578289147,0,4
1578292193,1,0
1578295695,0,2
1578297313,0,1
1578303743,1,0
1578305412,0,1
1578307334,0,5
1578309021,1,3
1578311994,1,1
1578312854,2,0
1578313691,1,0
1578314994,1,0
1578317414,0,1
1578321759,1,2
1578325378,0,2
1578327013,1,0
1578328111,2,0
1578329262,1,1
1578330622,2,0
1578332533,0,1
1578333375,1,0
1578336146,0,1
1578338051,3,0
1578338892,1,0
1578340573,1,0
1578341652,0,1
1578342492,2,0
1578343664,1,1
1578344768,1,0
1578347113,1,0
1578348916,1,0
1578350532,1,1
1578352222,1,0
1578353415,0,1
1578357014,1,0
1578358512,2,1
1578359717,1,0
1578360914,0,1
1578362431,3,0
1578366852,0,8
1578368070,2,35
1578369374,2,3
1578370514,1,0
1578372135,6,1
1578374049,2,0
1578379333,1,1
1578381013,2,0
1578386532,1,1
1578388451,2,0
1578391814,1,0
1578396491,1,0
1578399015,0,1
1578400934,1,0
