DateTime,AddedIPs,RemovedIPs
1578940083,183,79
1578940211,511,0
1578941523,10,8
1578942843,154,243
1578943456,11,9
1578944334,67,93
1578945367,20,28
1578945525,54,48
1578947283,13,18
1578948310,323,1288
1578949214,121,102
1578951143,154,65
1578952563,80,100
1578953311,21,23
1578953702,64,38
1578955464,96,78
1578956506,77,77
1578957613,24,26
1578958932,0,19294
1578959524,22,25
1578960603,19369,0
1578961460,298,0
1578961683,54,1
1578963367,20,5
1578963622,71,157
1578965293,19,9
1578966002,115,81
1578967225,19,11
1578967802,72,48
1578969141,55,92
1578971069,56,40
1578971247,63,67
1578972967,23,12
1578973323,117,93
1578974892,14,12
1578975003,71,55
1578976153,0,19324
1578976820,15,13
1578977103,253,0
1578977763,19379,0
1578978733,10,8
1578978905,66,46
1578980661,7,7
1578982586,223,147
1578984741,55,78
1578985489,129,71
1578986659,17,10
1578987181,78,73
1578988567,13,27
1578990506,122,99
1578990903,56,64
1578992036,52,22
1578992408,20,19
1578992426,17,53
1578994346,77,16
1578994923,68,95
1578996249,15,19
1578996603,101,61
1578998168,6,26
1578998523,103,93
1579000106,18,583
1579000444,82,72
1579002007,15,8
1579003949,415,117
1579004045,64,60
1579005009,0,1278
1579005849,20,14
1579006833,151,165
1579008025,79,11
1579008483,39,0
1579009322,37,105
1579009926,16,19
1579010162,40,1
1579011862,13,15
1579012202,1077,57
1579013102,63,81
1579014012,89,57
1579014903,66,76
1579015942,8,14
1579016103,80,96
1579017851,11,23
1579018512,71,20
1579019282,131,50
1579019765,5,18
1579020902,85,121
1579021703,5,13
1579022103,44,57
1579023611,9,8
1579023735,93,165
1579024562,41,0
1579025532,13,4
1579025703,56,54
1579027458,12,6
1579027511,95,608
1579029383,134,134
1579031535,104,160
1579031763,47,1
1579033448,7,6
1579034000,308,83
1579034403,74,113
1579035374,9,20
1579036052,74,58
1579037282,11,12
1579037404,81,88
1579038602,54,30
1579039214,15,12
1579040105,68,67
1579041136,41,18
1579043296,12,14
1579045211,171,436
1579047140,272,0
1579048204,168,210
1579049046,5,14
1579051215,116,137
1579051683,62,0
1579053146,12,18
1579053365,78,137
1579055073,76,103
1579055284,50,0
1579056123,91,264
1579057232,98,20
1579059147,79,105
1579059302,68,106
1579061065,16,19
1579061643,130,102
1579062967,18,17
1579063202,73,132
1579064949,12,14
1579065244,97,58
1579066811,9,9
1579066922,82,102
1579068744,5,5
1579070651,242,287
1579072577,82,65
1579073283,57,3
1579074123,44,137
