DateTime,Entries,UniqueIPs
1578713555,8530,8578
1578714266,8537,8585
1578714978,8527,8575
1578715704,8535,8583
1578716420,8537,8585
1578717154,8533,8581
1578717862,8538,8586
1578718597,8535,8583
1578719309,8540,8588
1578720063,8543,8592
1578720755,8540,8589
1578721463,8543,8592
1578722181,8541,8590
1578722908,8539,8588
1578723627,8537,8586
1578724356,8542,8591
1578725073,8544,8593
1578725787,8544,8593
1578726503,8544,8593
1578727219,8543,8592
1578727951,8539,8587
1578728659,8536,8584
1578729382,8537,8585
1578730108,8538,8586
1578730820,8532,8580
1578731552,8531,8579
1578732267,8529,8577
1578732977,8536,8584
1578733959,8531,8579
1578734661,8530,8578
1578735384,8533,8581
1578736290,8532,8580
1578736897,8529,8577
1578737548,8532,8581
1578738262,8530,8579
1578738985,8531,8580
1578739719,8527,8576
1578740430,8532,8581
1578741142,8532,8581
1578741865,8533,8582
1578742580,8538,8587
1578743306,8536,8585
1578744030,8541,8590
1578744763,8536,8585
1578745459,8532,8581
1578746183,8534,8583
1578746902,8536,8585
1578747626,8535,8584
1578748357,8535,8584
1578749062,8534,8582
1578749790,8539,8587
1578750502,8541,8589
1578751226,8542,8590
1578751946,8547,8595
1578752664,8543,8591
1578753384,8546,8594
1578754103,8544,8592
1578754837,8545,8593
1578755542,8548,8596
1578756261,8544,8592
1578756980,8537,8585
1578757700,8541,8589
1578758427,8534,8582
1578759152,8541,8589
1578759863,8547,8595
1578760583,8547,8595
1578761299,8542,8590
1578762027,8544,8592
1578762762,8541,8589
1578763463,8548,8596
1578764181,8555,8603
1578764912,8554,8602
1578765620,8555,8603
1578766360,8556,8604
1578767071,8551,8599
1578767782,8555,8603
1578768502,8558,8606
1578769233,8554,8602
1578769963,8553,8601
1578770665,8553,8601
1578771381,8555,8603
1578772099,8557,8605
1578772852,8557,8605
1578773558,8549,8597
1578774260,8548,8596
1578774983,8546,8592
1578775708,8547,8593
1578776431,8541,8587
1578777149,8543,8589
1578777861,8545,8591
1578778581,8541,8587
1578779304,8537,8583
1578780111,8538,8584
1578780788,8537,8583
1578781476,8538,8584
1578782186,8538,8584
1578782889,8536,8582
1578783622,8533,8579
1578784336,8536,8582
1578785049,8536,8582
1578785778,8536,8582
1578786751,8531,8577
1578787482,8534,8580
1578788651,8577,8623
1578789375,8578,8624
1578790846,8579,8625
1578791574,8581,8627
1578792246,8579,8625
1578792969,8573,8619
1578793696,8571,8617
1578794447,8574,8620
1578795150,8576,8624
1578795853,8583,8631
1578796571,8576,8624
1578797290,8583,8631
1578798013,8585,8633
1578798754,8580,8628
1578799461,8578,8626
1578800187,8578,8626
1578800902,8584,8632
1578801622,8582,8630
1578802344,8583,8631
1578803060,8581,8629
1578803786,8580,8628
1578804747,8584,8632
1578805469,8582,8632
1578806188,8581,8631
1578806897,8581,8631
1578807630,8584,8634
1578808338,8584,8634
1578809077,8585,8635
1578809783,8587,8637
1578810507,8585,8635
1578811221,8587,8637
1578811939,8594,8644
1578812912,8591,8641
1578813624,8594,8644
1578814454,8596,8646
1578815064,8598,8648
1578815782,8603,8653
1578816755,8601,8651
1578817463,8601,8651
1578818907,8600,8650
1578819626,8603,8653
1578820375,8608,8658
1578821047,8609,8659
1578821771,8616,8666
1578822498,8612,8662
1578823222,8612,8662
1578824192,8611,8661
1578824888,8614,8664
1578825613,8613,8663
1578826329,8610,8660
1578827304,8609,8659
1578828009,8611,8661
1578828740,8612,8662
1578829448,8610,8660
1578830167,8611,8661
1578830910,8616,8666
1578831631,8617,8667
1578832348,8612,8662
1578833064,8613,8663
1578833785,8612,8662
1578834749,8615,8665
1578835462,8614,8664
1578836425,8612,8662
1578837138,8610,8660
1578838114,8606,8656
1578838818,8602,8652
1578839544,8596,8649
1578840266,8592,8645
1578840996,8592,8645
1578841966,8589,8642
1578842659,8599,8652
