DateTime,AddedIPs,RemovedIPs
1578415503,105,92
1578417243,105,64
1578418390,68,84
1578420435,128,78
1578421803,74,79
1578422522,43,27
1578423363,57,2
1578424503,97,75
1578425702,130,65
1578426832,86,21
1578426963,11,0
1578428043,76,390
1578428882,61,2
1578430099,81,88
1578430819,51,31
1578431643,51,1
1578433203,90,97
1578435003,96,52
1578436082,71,1
1578438604,116,120
1578440704,97,98
1578442442,83,38
1578443283,40,0
1578444485,83,98
1578445803,72,58
1578447723,89,105
1578449403,91,49
1578452494,149,172
1578454082,80,0
1578454923,27,90
1578456605,61,62
1578458531,70,101
1578459364,42,0
1578460442,38,61
1578461283,44,0
1578462122,43,117
1578464044,76,44
1578465724,70,102
1578467643,78,38
1578468486,54,0
1578470102,106,95
1578471243,87,43
1578472803,89,103
1578474602,89,64
1578474842,13,0
1578475684,55,1
1578477303,111,110
1578478443,77,94
1578479702,65,73
1578480902,52,27
1578481994,63,55
1578483174,86,82
1578484822,66,70
1578485643,48,0
1578486903,103,101
1578488103,109,36
1578489242,72,52
1578490924,130,115
1578491763,61,0
1578492903,66,45
1578494103,87,67
1578495252,82,29
1578496504,65,42
1578498123,129,83
1578498962,50,0
1578500104,101,56
1578501603,97,133
1578503403,105,51
1578504482,64,0
1578506002,74,107
1578507242,90,51
1578508082,61,0
1578509703,103,114
1578511682,151,68
1578512522,61,113
1578513362,57,0
1578514504,59,56
1578516003,80,108
1578517291,70,55
1578518883,149,0
1578520502,82,103
1578521642,49,58
1578523323,93,108
1578525242,114,73
1578526804,90,107
1578528603,102,68
1578528843,17,0
1578530522,67,89
1578532202,87,53
1578533385,68,101
1578535803,107,100
1578536882,72,0
1578537723,44,112
1578539256,73,43
1578540483,68,1
1578541324,53,113
1578543005,65,56
1578544082,60,0
1578546602,149,188
1578547803,48,99
1578550204,94,80
1578551392,64,74
1578552123,34,31
1578553205,60,51
1578554884,74,7
1578555723,40,99
1578556563,32,0
1578556821,11,52
1578557643,38,1
1578558483,39,1
1578559969,57,108
1578561303,87,102
1578562923,61,105
1578563762,32,0
1578564843,36,43
1578565683,47,0
1578566523,33,140
1578568203,64,65
1578569283,37,2
1578572042,114,155
1578573604,64,101
1578575644,74,71
1578576483,45,0
1578577337,36,125
1578579242,77,54
1578580083,260,0
1578582842,211,181
1578583683,42,0
1578584993,51,131
1578586203,72,48
1578586442,6,0
1578587702,58,83
1578589803,90,78
1578591003,72,90
1578591723,35,25
1578593155,60,74
1578594603,64,144
1578595336,33,59
1578597242,86,90
1578598498,41,102
1578600843,107,129
1578602522,54,159
1578604443,74,76
1578605283,28,1
1578606603,64,114
