DateTime,AddedIPs,RemovedIPs
1578660721,33,30
1578661321,36,26
1578663121,22,33
1578663721,28,42
1578664321,38,46
1578664921,34,37
1578665521,38,34
1578666122,38,39
1578666721,33,0
1578667321,33,17
1578668521,27,0
1578669721,33,74
1578670922,41,64
1578672721,41,34
1578673321,33,40
1578673921,28,0
1578674521,33,13
1578675121,30,0
1578675721,22,70
1578676322,42,30
1578676922,35,6
1578677521,31,18
1578678122,30,38
1578678721,19,0
1578679321,28,0
1578680521,29,108
1578681721,29,11
1578682921,36,66
1578683521,43,0
1578684121,29,0
1578684722,42,40
1578685322,25,0
1578686522,28,41
1578687122,7,36
1578687721,24,44
1578688321,33,37
1578688921,42,36
1578689521,32,40
1578691321,33,78
1578692522,29,35
1578693121,29,32
1578693721,33,46
1578694922,21,35
1578696121,41,24
1578697321,35,56
1578697921,31,0
1578698521,32,51
1578699121,20,0
1578700322,36,20
1578700922,35,0
1578701521,27,11
1578702122,30,6
1578702721,36,24
1578703321,14,0
1578704521,25,27
1578705122,42,72
1578705722,34,0
1578706921,26,48
1578708121,35,4
1578709321,35,14
1578709922,29,5
1578710521,33,5
1578711721,11,38
1578712322,30,0
1578713522,34,35
1578714121,34,24
1578715321,26,25
1578716522,34,30
1578717121,37,63
1578717721,17,0
1578718921,25,85
1578720722,21,23
1578721322,29,8
1578722521,26,54
1578723121,38,34
1578723721,29,25
1578724922,32,0
1578725521,36,47
1578726121,16,45
1578727322,34,21
1578728521,29,71
1578729121,37,0
1578729722,33,0
1578730921,16,60
1578732121,28,48
1578733321,51,0
1578734521,40,28
1578735121,23,6
1578735721,8,15
1578736921,29,68
1578737521,32,0
1578738122,35,37
1578739321,25,45
1578739921,34,53
1578740521,14,0
1578741722,34,38
1578742921,15,28
1578744721,36,48
1578745322,28,34
1578746521,10,25
1578747122,37,0
1578748322,30,65
1578748921,32,0
1578750121,31,54
1578750721,40,48
1578751321,16,39
1578752521,32,41
1578753121,31,40
1578753721,33,28
1578754922,40,60
1578756121,25,0
1578757321,38,31
1578757921,44,41
1578759721,35,24
1578760321,40,55
1578760921,47,0
1578762122,14,96
1578763321,47,34
1578763921,33,34
1578764521,42,37
1578765721,9,104
1578766321,45,0
1578766921,38,0
1578768121,25,42
1578768721,43,28
1578769321,19,0
1578770521,31,63
1578771722,34,99
1578772922,10,35
1578774122,36,73
1578775322,35,34
1578775921,18,29
1578776522,10,0
1578777721,34,0
1578778921,32,75
1578780721,17,74
1578781321,1,0
1578781921,35,21
1578782521,38,29
1578783721,39,35
1578784922,36,75
1578785521,27,0
1578786121,33,18
1578786721,14,0
1578787321,24,95
1578787921,36,40
1578789121,36,0
1578789721,11,76
1578790322,33,0
1578790922,39,32
1578792721,15,76
1578793321,37,0
1578794521,36,60
1578795121,39,0
1578795721,47,35
1578796321,46,0
1578796922,40,58
1578798121,33,0
1578798721,33,22
1578799321,20,27
1578799921,38,0
1578800521,30,30
1578801721,34,78
1578802921,33,0
1578803521,38,111
1578805321,40,0
1578806521,43,35
1578807722,36,45
1578808921,36,34
1578809521,20,45
1578810121,42,33
1578811321,36,41
1578812521,14,41
1578813721,40,16
1578814322,37,35
1578815521,43,34
1578816121,35,40
1578817321,36,69
1578818521,33,30
1578820321,29,42
1578820922,32,0
1578821521,35,72
1578822721,30,0
1578823322,38,37
1578823921,37,22
1578824521,33,0
1578825721,25,75
1578826921,28,26
1578828122,45,55
1578829322,30,0
1578830521,32,7
1578831721,38,57
1578832321,25,0
1578832922,29,0
1578834121,39,44
1578834721,35,38
1578835921,40,34
1578836521,30,0
1578837121,15,80
1578837721,5,0
1578839522,37,51
1578840121,26,85
1578841321,43,38
1578843121,23,12
1578843722,31,37
1578844921,32,0
1578845522,39,31
1578846721,40,82
1578847321,36,0
1578847921,36,39
1578848521,26,0
1578849121,37,14
1578849722,35,41
1578850922,38,26
1578851521,36,35
1578852122,23,0
1578852721,32,24
1578853321,24,41
1578854521,37,44
1578855722,29,85
1578856921,36,35
1578858121,21,0
1578859321,36,34
1578861121,30,33
1578861722,35,0
1578862921,31,38
